timestamp,speed,acceleration,braking_event,latitude,longitude,event_type,weather,time_of_day
2024-07-08 08:00:00,45,0.2,0,12.9716,77.5946,normal,clear,morning
2024-07-08 08:00:01,47,0.3,0,12.9717,77.5947,normal,clear,morning
2024-07-08 08:00:02,50,0.5,0,12.9718,77.5948,speeding,clear,morning
2024-07-08 08:00:03,52,0.4,0,12.9719,77.5949,speeding,clear,morning
2024-07-08 08:00:04,48,-1.2,1,12.9720,77.5950,harsh_braking,rainy,morning
2024-07-08 08:00:05,46,-0.5,0,12.9721,77.5951,normal,rainy,morning
2024-07-08 08:00:06,44,-0.3,0,12.9722,77.5952,normal,clear,afternoon
2024-07-08 08:00:07,60,1.5,0,12.9723,77.5953,speeding,clear,afternoon
2024-07-08 08:00:08,62,0.8,0,12.9724,77.5954,speeding,clear,afternoon
2024-07-08 08:00:09,55,-2.0,1,12.9725,77.5955,harsh_braking,rainy,afternoon
2024-07-08 08:00:10,50,0.0,0,12.9726,77.5956,normal,clear,afternoon
2024-07-08 08:00:11,38,0.1,0,12.9727,77.5957,normal,clear,evening
2024-07-08 08:00:12,41,0.2,0,12.9728,77.5958,normal,clear,evening
2024-07-08 08:00:13,43,0.3,0,12.9729,77.5959,normal,clear,evening
2024-07-08 08:00:14,49,0.4,0,12.9730,77.5960,normal,clear,evening
2024-07-08 08:00:15,53,0.5,0,12.9731,77.5961,speeding,clear,night
2024-07-08 08:00:16,56,0.6,0,12.9732,77.5962,speeding,clear,night
2024-07-08 08:00:17,59,0.7,0,12.9733,77.5963,speeding,clear,night
2024-07-08 08:00:18,61,0.8,0,12.9734,77.5964,speeding,clear,night
2024-07-08 08:00:19,58,-1.5,1,12.9735,77.5965,harsh_braking,rainy,night
2024-07-08 08:00:20,40,0.0,0,12.9736,77.5966,normal,clear,morning
2024-07-08 08:00:21,42,0.1,0,12.9737,77.5967,normal,clear,morning
2024-07-08 08:00:22,45,0.2,0,12.9738,77.5968,normal,clear,morning
2024-07-08 08:00:23,48,0.3,0,12.9739,77.5969,normal,clear,morning
2024-07-08 08:00:24,51,0.4,0,12.9740,77.5970,speeding,clear,morning
2024-07-08 08:00:25,54,0.5,0,12.9741,77.5971,speeding,clear,morning
2024-07-08 08:00:26,57,0.6,0,12.9742,77.5972,speeding,clear,afternoon
2024-07-08 08:00:27,60,0.7,0,12.9743,77.5973,speeding,clear,afternoon
2024-07-08 08:00:28,63,0.8,0,12.9744,77.5974,speeding,clear,afternoon
2024-07-08 08:00:29,66,-2.1,1,12.9745,77.5975,harsh_braking,rainy,afternoon
2024-07-08 08:00:30,48,0.0,0,12.9746,77.5976,normal,clear,afternoon
2024-07-08 08:00:31,50,0.1,0,12.9747,77.5977,normal,clear,evening
2024-07-08 08:00:32,53,0.2,0,12.9748,77.5978,speeding,clear,evening
2024-07-08 08:00:33,56,0.3,0,12.9749,77.5979,speeding,clear,evening
2024-07-08 08:00:34,59,0.4,0,12.9750,77.5980,speeding,clear,evening
2024-07-08 08:00:35,62,0.5,0,12.9751,77.5981,speeding,clear,night
2024-07-08 08:00:36,65,0.6,0,12.9752,77.5982,speeding,clear,night
2024-07-08 08:00:37,68,0.7,0,12.9753,77.5983,speeding,clear,night
2024-07-08 08:00:38,70,0.8,0,12.9754,77.5984,speeding,clear,night
2024-07-08 08:00:39,67,-2.2,1,12.9755,77.5985,harsh_braking,rainy,night
2024-07-08 08:00:40,42,0.0,0,12.9756,77.5986,normal,clear,morning
2024-07-08 08:00:41,44,0.1,0,12.9757,77.5987,normal,clear,morning
2024-07-08 08:00:42,47,0.2,0,12.9758,77.5988,normal,clear,morning
2024-07-08 08:00:43,50,0.3,0,12.9759,77.5989,speeding,clear,morning
2024-07-08 08:00:44,53,0.4,0,12.9760,77.5990,speeding,clear,morning
2024-07-08 08:00:45,56,0.5,0,12.9761,77.5991,speeding,clear,morning
2024-07-08 08:00:46,59,0.6,0,12.9762,77.5992,speeding,clear,afternoon
2024-07-08 08:00:47,62,0.7,0,12.9763,77.5993,speeding,clear,afternoon
2024-07-08 08:00:48,65,0.8,0,12.9764,77.5994,speeding,clear,afternoon
2024-07-08 08:00:49,68,-2.3,1,12.9765,77.5995,harsh_braking,rainy,afternoon 
